# Capture Picture retest on the transport fix (18:32): three rounds of leave, re-enter, capture; Back pressed mid-run in round three. Then (18:54) the same on the fix for that: Back mid-run, re-enter, camera switch. App feat/capture-keep-awake (uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 18:27:23. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to app writes and hook logs (minus hex dumps, heartbeats and the empty self-test lines), the device's Sleep/Wake/Captured/Finished/slot replies, and, on the nRF and Himax, the command arrivals, the packet numbers around each restart, the sleep entries, the state changes of the image task and the resets.
[05:04.357] app   | Extracting services and characteristics.
[28:10.025] himax | Inactive for 1000ms
[28:10.025] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:10.025] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:10.025] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:10.941] himax | Inactive for 1000ms
[28:10.941] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:10.941] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:10.941] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:12.142] himax | Inactive for 1000ms
[28:12.142] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:12.142] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:12.142] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:13.073] himax | Inactive for 1000ms
[28:13.073] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:13.073] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:13.073] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:14.291] himax | Inactive for 1000ms
[28:14.291] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:14.291] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:14.291] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:15.111] app   | Written AI slots to the device WILD-CNKW (18:55:39-415)
[28:15.209] himax | Inactive for 1000ms
[28:15.209] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:15.209] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:15.209] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:15.209] himax | MKL62BA command received: 'slots'
[28:15.466] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[28:15.509] nrf   | BLE in: Received   8 bytes 'AI slots'
[28:15.509] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[28:16.425] himax | Inactive for 1000ms
[28:16.425] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:16.425] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:16.425] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:17.341] himax | Inactive for 1000ms
[28:17.341] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:17.341] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:17.341] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:18.558] himax | Inactive for 1000ms
[28:18.558] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:18.558] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:18.558] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:19.477] himax | Inactive for 1000ms
[28:19.477] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:19.477] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:19.477] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:20.392] himax | Inactive for 1000ms
[28:20.392] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:20.392] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:20.392] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:20.899] app   | Written AI slots to the device WILD-CNKW (18:55:45-203)
[28:20.993] himax | MKL62BA command received: 'slots'
[28:21.101] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[28:21.307] nrf   | BLE in: Received   8 bytes 'AI slots'
[28:21.307] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[28:22.224] himax | Inactive for 1000ms
[28:22.224] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:22.224] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:22.224] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:23.141] himax | Inactive for 1000ms
[28:23.141] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:23.141] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:23.141] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:24.358] himax | Inactive for 1000ms
[28:24.358] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:24.358] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:24.358] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:25.276] himax | Inactive for 1000ms
[28:25.276] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:25.276] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:25.276] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:26.207] himax | Inactive for 1000ms
[28:26.207] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:26.207] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:26.207] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:26.776] app   | Written AI slots to the device WILD-CNKW (18:55:51-081)
[28:26.824] himax | MKL62BA command received: 'slots'
[28:26.954] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[28:27.125] nrf   | BLE in: Received   8 bytes 'AI slots'
[28:27.125] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[28:28.041] himax | Inactive for 1000ms
[28:28.041] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:28.041] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:28.041] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:28.942] himax | Inactive for 1000ms
[28:28.942] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:28.942] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:28.942] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:30.175] himax | Inactive for 1000ms
[28:30.175] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:30.175] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:30.175] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:31.091] himax | Inactive for 1000ms
[28:31.091] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:31.091] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:31.091] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:32.008] himax | Inactive for 1000ms
[28:32.008] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:32.008] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:32.008] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:32.623] himax | MKL62BA command received: 'slots'
[28:32.642] app   | Written AI slots to the device WILD-CNKW (18:55:56-946)
[28:32.809] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[28:32.924] nrf   | BLE in: Received   8 bytes 'AI slots'
[28:32.924] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[28:33.093] app   | '[useCameraSwitch] switch failed:', [Error: Device did not come back running HM0360. It may have booted the other image - check with 'AI slots' and switch again if needed.]
[28:33.841] himax | Inactive for 1000ms
[28:33.841] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:33.841] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:33.841] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:34.757] himax | Inactive for 1000ms
[28:34.757] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:34.757] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:34.757] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:35.975] himax | Inactive for 1000ms
[28:35.975] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:35.975] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:35.975] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:36.891] himax | Inactive for 1000ms
[28:36.891] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:36.891] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:36.891] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:38.109] himax | Inactive for 1000ms
[28:38.109] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:38.109] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:38.109] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:39.024] himax | Inactive for 1000ms
[28:39.024] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:39.024] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:39.024] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
[28:39.941] himax | Inactive for 1000ms
[28:39.941] himax | IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised'
[28:39.941] himax | Sending 76 bytes: Header 4, payload 70, checksum 2 'IMAGE task unhandled event 'Image Event Inactivity' in 'Uninitialised''
[28:39.941] himax | IF Task unhandled event 'Inactivity' in 'I2C TX State'
